node   1  (   0,    0) (   5,    3) (   6,    4) (   7,    7) (   9,    9) (   8,    8) (   5,    5) (   4,    4) (   4,    4) (   6,    6)
          (   5,    5) (   6,    6) (   6,    6) (   2,    2) (   4,    4) (   2,    2) (   5,    5) (   3,    3) (   4,    4) (   5,    5)
          (   4,    4) (   4,    4) (   4,    4) (   2,    2) (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   7,    7) (   4,    4)
          (   4,    4) (   2,    2) (   4,    4) (   7,    7) (   4,    4) (   4,    4) (   3,    3) (   3,    3) (   4,    4) (   5,    5)
          (   6,    6) (   4,    4) (   4,    4) (   2,    2) (   3,    3) (   3,    3) (   5,    5) (   5,    5) (   6,    6) (   2,    2)
          (   3,    3) (   6,    6) (   5,    5) (   4,    4) (   3,    3) (   5,    5) (   4,    4) (   2,    2) (   4,    4) (   4,    4)
          (   4,    4) (   3,    3) (   3,    3) (   4,    4) (   6,    6) (   5,    5) (   4,    4) (   3,    3) (   8,    8) (   4,    4)
          (   3,    3) (   6,    6) (   3,    3) (   4,    4) (   5,    5) (   2,    2) (   4,    4) (   5,    5) (   5,    5) (   4,    4)
          (   2,    2) (   5,    5) (   5,    5) (   4,    4) (   5,    5) (   6,    6) (   3,    3) (   2,    2) (   7,    7) (   4,    4)
          (   6,    6) (   2,    2) (   4,    4) (   6,    6) (   3,    3) (   5,    5) (   3,    3) (   4,    4) (   5,    5) (   7,    7)
          (   4,    4) (   4,    4) (   4,    3) (   2,    2) (   4,    4) (   3,    2) (   5,    5) (   3,    3) (   5,    5) (   4,    4)
          (   3,    3) (   7,    7) (   3,    3) (   6,    6) (   5,    5) (   4,    4) (   3,    3) (   3,    2) (   5,    4) (   4,    4)
          (   3,    3) (   6,    6) (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   6,    6) (   5,    5) (   4,    4) (   6,    6)
          (   5,    5) (   4,    4) (   4,    4) (   5,    5) (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   4,    4) (   2,    2)
